5,0.0,50.0
5,0.05,54.0
5,0.1,52.0
5,0.15,56.0
5,0.2,54.0
5,0.25,60.0
5,0.3,78.0
5,0.35,72.0
5,0.4,100.0
5,0.45,96.0
5,0.5,126.0
5,0.55,118.0
5,0.6,144.0
5,0.65,144.0
5,0.7,182.0
5,0.75,356.0
5,0.8,344.0
5,0.85,696.0
5,0.9,1320.0
5,0.95,6096.0
10,0.0,100.0
10,0.05,102.0
10,0.1,106.0
10,0.15,122.0
10,0.2,122.0
10,0.25,160.0
10,0.3,150.0
10,0.35,176.0
10,0.4,184.0
10,0.45,206.0
10,0.5,214.0
10,0.55,240.0
10,0.6,378.0
10,0.65,360.0
10,0.7,422.0
10,0.75,618.0
10,0.8,1136.0
10,0.85,1984.0
10,0.9,3246.0
10,0.95,15738.0
15,0.0,150.0
15,0.05,154.0
15,0.1,166.0
15,0.15,170.0
15,0.2,204.0
15,0.25,200.0
15,0.3,256.0
15,0.35,232.0
15,0.4,298.0
15,0.45,252.0
15,0.5,396.0
15,0.55,414.0
15,0.6,504.0
15,0.65,576.0
15,0.7,700.0
15,0.75,808.0
15,0.8,1382.0
15,0.85,2224.0
15,0.9,4942.0
15,0.95,19498.0
20,0.0,200.0
20,0.05,216.0
20,0.1,218.0
20,0.15,226.0
20,0.2,276.0
20,0.25,272.0
20,0.3,312.0
20,0.35,340.0
20,0.4,378.0
20,0.45,430.0
20,0.5,404.0
20,0.55,518.0
20,0.6,608.0
20,0.65,818.0
20,0.7,1084.0
20,0.75,1124.0
20,0.8,2000.0
20,0.85,2850.0
20,0.9,7254.0
20,0.95,26082.0
25,0.0,250.0
25,0.05,262.0
25,0.1,288.0
25,0.15,286.0
25,0.2,308.0
25,0.25,308.0
25,0.3,366.0
25,0.35,414.0
25,0.4,444.0
25,0.45,536.0
25,0.5,574.0
25,0.55,622.0
25,0.6,742.0
25,0.65,970.0
25,0.7,1288.0
25,0.75,1682.0
25,0.8,2062.0
25,0.85,4516.0
25,0.9,8514.0
25,0.95,35964.0
30,0.0,300.0
30,0.05,320.0
30,0.1,344.0
30,0.15,336.0
30,0.2,380.0
30,0.25,378.0
30,0.3,500.0
30,0.35,454.0
30,0.4,528.0
30,0.45,642.0
30,0.5,652.0
30,0.55,840.0
30,0.6,1016.0
30,0.65,1376.0
30,0.7,1518.0
30,0.75,1778.0
30,0.8,2944.0
30,0.85,4650.0
30,0.9,8738.0
30,0.95,46284.0
35,0.0,350.0
35,0.05,366.0
35,0.1,392.0
35,0.15,424.0
35,0.2,454.0
35,0.25,488.0
35,0.3,486.0
35,0.35,574.0
35,0.4,552.0
35,0.45,736.0
35,0.5,890.0
35,0.55,924.0
35,0.6,1120.0
35,0.65,1298.0
35,0.7,1726.0
35,0.75,2384.0
35,0.8,3238.0
35,0.85,5858.0
35,0.9,12908.0
35,0.95,44920.0
40,0.0,400.0
40,0.05,428.0
40,0.1,434.0
40,0.15,476.0
40,0.2,480.0
40,0.25,530.0
40,0.3,602.0
40,0.35,626.0
40,0.4,760.0
40,0.45,852.0
40,0.5,982.0
40,0.55,1052.0
40,0.6,1166.0
40,0.65,1600.0
40,0.7,2234.0
40,0.75,2352.0
40,0.8,4558.0
40,0.85,7108.0
